index,Name_Hangul,Hypocoristic_Hangul,Name_IPA,Hypocoristic_IPA
142,주은,쥰,tɕu.ɨn,tɕjun
143,주은,쭌,tɕu.ɨn,tɕ'un
144,주은,쮼,tɕu.ɨn,tɕ'jun
145,주호,쬬,tɕu.ho,tɕ'jo
146,주희,쥐,tɕu.hɥi,tɕwi
147,준영,쭌,tɕun.jʌŋ,tɕ'un
148,지민,짐,tɕi.min,tɕim
149,지수,짓,tɕi.su,tɕis
150,지연,뎐,tɕi.jʌn,tjʌn
151,지연,젼,tɕi.jʌn,tɕjʌn
152,지영,뎡,tɕi.jʌŋ,tjʌŋ
153,지영,졍,tɕi.jʌŋ,tɕjʌŋ
154,지예,졔,tɕi.je,tɕje
155,지우,쥬,tɕi.u,tɕju
156,지웅,즁,tɕi.uŋ,tɕjuŋ
157,지원,줜,tɕi.wʌn,tɕwʌn
158,지은,징,tɕi.ɨn,tɕiŋ
159,지현,젼,tɕi.hjʌn,tɕjʌn
160,지혜,제,tɕi.hje,tɕe
161,지혜,젱,tɕi.hje,tɕeŋ
162,지혜,졔,tɕi.hje,tɕje
163,지혜,졩,tɕi.hje,tɕjeŋ
164,지혜,쪠,tɕi.hje,tɕ'je
165,지호,죠,tɕi.ho,tɕjo
166,지환,쟌,tɕi.hwan,tɕjan
167,지환,좐,tɕi.hwan,tɕwan
168,지훈,쭌,tɕi.hun,tɕ'un
169,지희,짛,tɕi.hɥi,tɕih
170,진구,꾸,tɕin.ku,k'u
171,진영,녕,tɕin.jʌŋ,njʌŋ
172,진주,쭈,tɕin.tɕu,tɕ'u
173,창민,민,tɕhaŋ.min,min
174,채림,챎,tɕhɛ.rim,tɕhɛrm
175,채민,챔,tɕhɛ.min,tɕhɛm
176,채원,챙,tɕhɛ.wʌn,tɕhɛŋ
177,채학,학,tɕhɛ.hak,hak
178,태관,꽌,thɛ.kwan,k'wan
179,태란,탤,thɛ.ran,thɛl
180,태민,탬,thɛ.min,thɛm
181,태연,탱,thɛ.jʌn,thɛŋ
182,태영,텽,thɛ.jʌŋ,thjʌŋ
183,태용,툥,thɛ.joŋ,thjoŋ
184,태일,탤,thɛ.il,thɛl
185,하림,림,ha.rim,rim
186,하은,항,ha.ɨn,haŋ
187,형훈,훈,hjʌŋ.hun,hun
188,혜나,혠,hje.na,hjen
189,혜리,혤,hje.ri,hjel
190,혜림,혦,hje.rim,hjerm
191,혜미,혬,hje.mi,hjem
192,혜민,혬,hje.min,hjem
193,혜성,셩,hje.sʌŋ,sjʌŋ
194,혜수,혯,hje.su,hjes
195,혜영,형,hje.jʌŋ,hjʌŋ
196,혜은,혠,hje.ɨn,hjen
197,혜은,혱,hje.ɨn,hjeŋ
198,혜인,혠,hje.in,hjen
199,혜지,찌,hje.tɕi,tɕ'i
200,혜지,혲,hje.tɕi,hjetɕ
201,혜진,찐,hje.tɕin,tɕ'in
202,호영,형,ho.jʌŋ,hjʌŋ
203,효리,횰,hjo.ri,hjol
204,효빈,횹,hjo.pin,hjop
205,효성,셩,hjo.sʌŋ,sjʌŋ
206,효은,횬,hjo.ɨn,hjon
207,희수,슈,hɥi.su,sju
208,희윤,휸,hɥi.jun,hjun
209,희은,힁,hɥi.ɨn,hɥiŋ
210,희주,힂,hɥi.tɕu,hɥitɕ
211,희준,쭌,hɥi.tɕun,tɕ'un
